"ambientes";"property.surface_covered";"property.price";"property.surface_total";"year";"gimnasio";"cochera";"pileta";"precioM2";"precioM2Vecino";"X";"Y"
2;60;117000;70;2016;0;0;0;1950;1715.35181236674;2243732.93643956;6497454.5742423
3;104;90000;227;2016;0;0;0;865.384615384615;891.304347826087;2242482.89473268;6501565.20593187
3;258;230000;295;2016;0;1;1;891.472868217054;993.995536155168;2233584.18337368;6508944.73503191
2;125;270000;389;2016;0;1;1;2160;895.833333333333;2236563.55751505;6510147.28466359
2;70;90000;70;2016;0;0;0;1285.71428571429;1589.28571428571;2244630.22155189;6498004.31136654
3;180;125000;300;2016;0;1;0;694.444444444444;929.411764705882;2239741.80321781;6505194.38324343
2;226;205000;277;2016;0;0;0;907.079646017699;1000;2239544.99510181;6503733.36578121
2;60;158000;90;2016;0;1;0;2633.33333333333;1846.15384615385;2244888.05552735;6497432.97511085
4;209;160000;209;2016;0;1;0;765.55023923445;916.666666666667;2242215.01994069;6495478.05641706
1;56;80000;68;2016;1;0;1;1428.57142857143;1886.36363636364;2244299.30082027;6497181.93661851
3;186;105000;270;2016;0;1;0;564.516129032258;1560;2243771.66814765;6497883.78864399
2;126;170000;108;2016;0;1;0;1349.20634920635;1395;2246635.2865209;6498966.63956467
2;110;115000;160;2016;0;1;0;1045.45454545455;891.304347826087;2241697.00303522;6501510.23026228
2;70;150000;78;2016;0;0;1;2142.85714285714;1718.34935897436;2245764.6173522;6498375.28115238
3;200;280000;200;2016;0;1;0;1400;1355.93220338983;2243233.49361716;6499051.36318198
2;65;125000;65;2016;0;0;0;1923.07692307692;1500;2242789.17584265;6498278.41998861
1;120;135000;350;2016;0;1;0;1125;958.547008547009;2238684.02056371;6506372.67124868
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
3;195;128000;151;2016;0;0;0;656.410256410256;1130.4347826087;2246278.59435498;6499651.46063388
1;35;53000;35;2016;0;0;0;1514.28571428571;1346.15384615385;2243121.89126046;6499151.20766435
2;54;65000;54;2016;0;0;0;1203.7037037037;1710.52631578947;2245621.91332978;6498460.31029963
1;45;65000;55;2016;0;0;0;1444.44444444444;1850.74626865672;2244530.4655752;6497397.53257677
1;46;80000;55;2016;0;0;1;1739.13043478261;1857.14285714286;2243653.35761493;6496628.12685437
1;59;85000;90;2016;0;0;0;1440.67796610169;1755.55555555556;2243237.47439221;6496723.8013497
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
2;252;230000;266;2016;0;0;0;912.698412698413;1028.90173410405;2244063.09303918;6499798.73291192
3;84;130000;84;2016;0;1;0;1547.61904761905;1000;2240019.23098386;6502484.32105035
2;55;1e+05;55;2016;0;0;0;1818.18181818182;1277.77777777778;2244868.60750892;6499948.45340605
3;110;155000;110;2016;0;1;0;1409.09090909091;1920.22727272727;2244051.71695459;6496987.41248899
1;60;80000;60;2016;0;0;0;1333.33333333333;1846.15384615385;2243493.75751726;6496920.62665932
1;39;62000;43;2016;0;0;1;1589.74358974359;1707.81300813008;2245667.68816663;6498593.26656596
1;40;65000;48;2016;0;0;0;1625;1522.76345755694;2246518.93011982;6498558.75785008
3;112;115000;250;2015;0;1;0;1026.78571428571;1607.17525399129;2243665.06497603;6492771.26322616
1;54;65000;60;2015;0;0;0;1203.7037037037;1345.45454545455;2244928.5550173;6499814.25674716
3;248;310000;248;2015;0;1;0;1250;1838.23529411765;2244330.69210478;6497486.38549344
3;172;170000;340;2015;0;1;1;988.372093023256;1000;2235054.47228115;6507239.82444974
1;40;67000;40;2016;0;0;0;1675;1547.61904761905;2242876.47236466;6498125.70925233
1;40;68000;40;2016;0;0;0;1700;1547.61904761905;2242876.47236466;6498125.70925233
1;40;67000;40;2016;0;0;0;1675;1547.61904761905;2242876.47236466;6498125.70925233
2;100;110000;250;2015;0;1;0;1100;949.795321637427;2239650.1254232;6500184.76253232
2;110;238000;140;2016;0;1;1;2163.63636363636;1350;2236887.49694501;6503776.95418384
2;70;72000;78;2016;0;0;0;1028.57142857143;1162.16216216216;2243327.19296497;6499618.70703987
2;69;98000;69;2016;0;1;0;1420.28985507246;1229.16666666667;2241793.52232785;6499029.55061407
5;240;190000;248;2016;0;1;0;791.666666666667;1338.46153846154;2244459.00393906;6501052.12491935
3;110;270000;240;2016;0;1;0;2454.54545454545;1105.26315789474;2242035.60618489;6499549.58367315
2;123;95000;150;2016;0;1;0;772.357723577236;1111.11111111111;2240460.23316803;6500263.89867101
1;234;150000;367;2016;0;1;0;641.025641025641;1126.12612612613;2242193.27675292;6498427.97176982
1;110;95000;113;2016;0;1;0;863.636363636364;1230.95238095238;2244574.90588281;6498469.66604523
2;160;130000;330;2016;0;1;0;812.5;783.898305084746;2233573.87641737;6510915.04438971
2;130;120000;150;2016;0;1;0;923.076923076923;739.009420496717;2246141.82996874;6502016.09104634
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
1;45;50000;45;2016;0;0;0;1111.11111111111;1329.4696969697;2244620.41595518;6500122.37658206
1;146;410000;184;2016;1;1;1;2808.21917808219;1634.05673274094;2238738.82596358;6504934.58452484
1;73;75000;73;2016;0;0;0;1027.39726027397;1083.33333333333;2243281.4867301;6500047.27433535
3;110;160000;110;2016;0;0;0;1454.54545454545;1823.75;2243462.55153121;6497186.78414772
3;305;450000;305;2016;0;1;0;1475.40983606557;1560;2243771.66814765;6497883.78864399
2;50;93000;63;2016;0;0;0;1860;1875.96153846154;2243665.41901663;6496999.17071657
2;143;210000;205;2016;0;1;1;1468.53146853147;1777.77777777778;2243237.91142651;6496697.52989706
2;60;125000;70;2016;0;0;0;2083.33333333333;1857.47767857143;2244334.52252635;6497337.44713471
2;42;80000;56;2015;1;1;1;1904.7619047619;1785.71428571429;2243251.59313278;6496722.36396723
1;120;150000;160;2015;0;1;1;1250;1312.5;2244574.95622425;6500193.84427661
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
3;200;170000;200;2016;0;1;1;850;1883.18181818182;2244673.75689296;6497182.19739381
3;300;380000;1600;2016;0;0;1;1266.66666666667;1000;2237386.16522339;6505920.53608953
3;135;145000;150;2016;0;1;1;1074.07407407407;1051.79349648005;2239784.65510582;6501972.65907982
2;95;115000;120;2016;0;1;0;1210.52631578947;1900;2243922.02600131;6497064.02429683
3;100;160000;110;2016;0;0;0;1600;1675;2243994.63154815;6497711.65633419
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
1;190;2e+05;350;2015;0;1;0;1052.63157894737;923.076923076923;2244273.88897264;6502068.26587859
1;35;67000;40;2016;0;0;0;1914.28571428571;1857.14285714286;2244184.37794394;6497401.35649173
2;114;90000;148;2016;0;0;0;789.473684210526;1000;2244011.91244704;6499636.99657789
3;250;320000;350;2015;0;1;0;1280;1243.24324324324;2245974.17657582;6490517.52163517
1;46;90000;55;2015;0;0;0;1956.52173913043;1558.57142857143;2243679.52631798;6497898.6265492
3;230;350000;230;2015;0;1;0;1521.73913043478;1875;2244673.89785792;6497259.94167932
4;300;280000;300;2015;0;0;0;933.333333333333;1000;2240483.25226934;6504084.21743262
3;150;235000;185;2016;0;1;1;1566.66666666667;1080;2239919.76015212;6494465.44882707
3;231;1e+05;231;2016;0;1;0;432.900432900433;686.274509803922;2241867.87137136;6495951.16732791
3;140;225000;180;2016;0;1;1;1607.14285714286;1080;2239919.76015212;6494465.44882707
4;185;273000;205;2016;0;1;1;1475.67567567568;1080;2239919.76015212;6494465.44882707
3;127;206000;167;2016;0;1;1;1622.04724409449;1080;2239919.76015212;6494465.44882707
3;150;225000;188;2016;0;1;1;1500;1080;2239919.76015212;6494465.44882707
2;139;190000;139;2016;0;0;0;1366.90647482014;1282.05128205128;2235957.30930834;6502948.30644071
3;160;142000;200;2016;0;1;0;887.5;1023.02325581395;2246455.37765153;6500042.00486398
2;60;85000;600;2016;0;0;1;1416.66666666667;807.971014492754;2236587.01868781;6508099.99935739
4;450;4e+05;650;2016;0;1;1;888.888888888889;1000;2240689.99112978;6503284.0088127
2;120;1e+05;490;2016;0;1;0;833.333333333333;560;2237358.76893465;6508774.80262532
2;170;290000;176;2016;0;1;0;1705.88235294118;1851.85185185185;2243933.3757356;6497357.58303998
1;42;62000;45;2016;0;0;0;1476.19047619048;1300;2244384.36328301;6500225.85430601
2;79;67000;79;2016;0;0;0;848.101265822785;1044.44444444444;2243027.86880414;6500166.79124147
1;65;145000;72;2016;0;0;0;2230.76923076923;1862.83582089552;2243962.37622738;6497274.2544301
1;44;65000;44;2016;0;0;0;1477.27272727273;1778.88888888889;2243281.15946964;6497201.94699958
3;210;237000;220;2016;0;1;0;1128.57142857143;1165.15837104072;2244186.90786422;6499703.70162836
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
1;240;220000;340;2015;0;1;0;916.666666666667;1312.5;2244574.95622425;6500193.84427661
1;240;220000;340;2015;0;1;0;916.666666666667;1312.5;2244574.95622425;6500193.84427661
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
2;100;150000;100;2016;0;0;0;1500;1862.74509803922;2243715.23305794;6496770.53805056
2;175;340000;175;2016;1;1;1;1942.85714285714;1458.33333333333;2238639.38426245;6504921.72344108
2;82;118000;84;2016;0;0;0;1439.0243902439;1867.06827309237;2244260.14348392;6497316.13434613
4;190;470000;190;2016;1;1;1;2473.68421052632;1458.33333333333;2238639.38426245;6504921.72344108
2;152;2e+05;180;2016;0;1;0;1315.78947368421;1285.71428571429;2242521.25745964;6493058.7088578
3;150;155000;330;2016;0;0;0;1033.33333333333;1289.0625;2246868.02864806;6493347.80644786
2;226;2e+05;277;2016;0;0;0;884.955752212389;1032.25806451613;2239650.74660244;6503880.99538329
2;164;195000;164;2016;0;1;0;1189.0243902439;1560;2243771.66814765;6497883.78864399
4;300;206000;350;2016;0;1;0;686.666666666667;777.777777777778;2245830.75143962;6502193.34105334
4;260;4e+05;1000;2016;0;1;0;1538.46153846154;919.117647058824;2238718.21133473;6506830.37857684
2;96;96000;264;2016;0;1;0;1000;1085.71428571429;2244900.68392281;6494761.7632883
1;48;74500;48;2016;0;0;0;1552.08333333333;1888.88888888889;2243888.33450857;6497107.12893838
2;76;135000;176;2016;0;1;1;1776.31578947368;1531.64556962025;2241307.1987551;6497291.93311835
2;79;121000;104;2016;0;1;1;1531.64556962025;1533.33333333333;2241307.1987551;6497291.93311835
2;79;114000;104;2016;0;1;1;1443.03797468354;1533.33333333333;2241307.1987551;6497291.93311835
1;220;185000;220;2016;0;1;1;840.909090909091;1560;2243771.66814765;6497883.78864399
2;50;68000;45;2016;0;0;0;1360;1500;2242789.17584265;6498278.41998861
2;157;185000;157;2016;0;1;1;1178.34394904459;1677.5;2245295.85448691;6498260.70442977
1;45;60000;45;2016;0;0;0;1333.33333333333;1473.68421052632;2244147.82745141;6498059.17437957
1;240;170000;249;2016;0;1;0;708.333333333333;1040;2240546.65401628;6502785.78807912
3;120;110000;240;2016;0;1;0;916.666666666667;648;2234414.84388704;6508281.24708573
3;250;180000;600;2016;0;1;1;720;828.220858895706;2241266.36637627;6502142.91832898
1;75;138000;130;2016;0;0;0;1840;1909.09090909091;2243882.76362787;6496992.65336593
2;55;80000;85;2016;0;0;0;1454.54545454545;1153.83333333333;2241275.05940882;6499556.87848291
2;82;80000;69;2016;0;0;0;975.609756097561;1400;2244961.05931748;6498445.21851275
2;72;250000;145;2016;0;0;0;3472.22222222222;1857.14285714286;2243942.02909826;6497270.34935561
2;147;395000;183;2016;1;0;1;2687.07482993197;1634.05673274094;2238738.82596358;6504934.58452484
2;78;230000;140;2016;0;0;0;2948.71794871795;1815.38461538462;2244526.84938874;6497593.93329413
1;234;268000;300;2016;0;1;0;1145.29914529915;1400;2243611.32575643;6498479.36792429
1;250;320000;750;2015;0;1;1;1280;987.124463519313;2240988.80688758;6502422.41245407
1;42;67295;62;2016;0;0;1;1602.2619047619;1250;2244269.69366069;6499058.60736788
2;62;52000;62;2016;0;0;0;838.709677419355;1096.875;2241797.60762487;6499854.14642776
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
3;140;180000;250;2015;0;1;1;1285.71428571429;1379.31034482759;2237505.92870631;6504302.54956824
4;160;2e+05;220;2015;0;1;1;1250;1123.20261437908;2240092.19417821;6502049.63377404
2;160;230000;300;2016;0;1;0;1437.5;1000;2239983.91835431;6502844.94672105
3;90;195000;90;2016;0;1;0;2166.66666666667;1455.11157239232;2237407.58099216;6501193.89871891
1;49;68000;65;2016;0;1;1;1387.75510204082;1238.63636363636;2243587.56783956;6500347.06109978
2;78;125000;85;2016;0;0;0;1602.5641025641;1877.5;2244783.9189849;6497245.62334497
2;85;165000;90;2016;0;0;0;1941.17647058824;1825;2243405.99544663;6496877.14392703
2;90;3e+05;100;2016;0;1;0;3333.33333333333;1877.5;2244673.75689296;6497182.19739381
2;65;110000;70;2016;0;0;0;1692.30769230769;1800;2243358.33023513;6496913.13169692
1;41;60000;59;2016;0;0;1;1463.41463414634;1704.54545454545;2245681.98354242;6498595.70255721
3;180;71200;360;2016;0;1;0;395.555555555556;816.831683168317;2242166.1718471;6503624.45102127
1;45;58000;93;2015;0;0;0;1288.88888888889;1214.28571428571;2242218.07991183;6498996.37700019
1;46;36600;46;2016;1;1;1;795.652173913043;1560;2243771.66814765;6497883.78864399
2;95;150000;103;2016;0;0;0;1578.94736842105;1880.95238095238;2243808.62635126;6496712.84323352
3;300;250000;545;2015;0;1;0;833.333333333333;945.378151260504;2242947.7682623;6501885.63310354
3;345;350000;380;2016;0;1;0;1014.49275362319;1000;2246370.56717288;6497538.21762531
1;207;140000;409;2016;0;1;0;676.328502415459;579.710144927536;2248732.47062871;6497095.84035287
1;255;5e+05;300;2016;0;1;0;1960.78431372549;1888.88888888889;2243911.88366284;6496508.30781669
