"VIVIENDA_REF_ID";"RADIO_REF_ID";"TIPVV";"V01";"V02";"V00";"URP";"INCALSERV";"INMAT";"MUNI";"LOCAL";"INCALCONS";"TOTHOG"
10843918;40970;1;1;1;0;3;3;4;580210000;58021000;3;1
10844105;40973;1;1;1;0;3;3;2;580210000;58021000;3;1
10844519;40981;1;1;1;0;2;2;2;580210028;58021010;2;1
10844464;40981;1;1;1;0;2;2;1;580210028;58021010;1;1
10844322;40978;1;1;1;0;3;3;2;580210000;58021000;2;1
10844359;40979;1;1;1;0;3;3;1;580215028;58021000;1;1
10844658;40981;1;1;1;0;2;2;2;580210028;58021010;2;1
10844365;40979;1;1;1;0;3;3;2;580215028;58021000;2;1
10844255;40976;1;2;1;0;3;3;4;580210000;58021000;3;1
10843924;40970;1;1;1;0;3;3;2;580210000;58021000;3;1
10843914;40970;1;1;1;0;3;3;2;580210000;58021000;3;1
10844417;40981;1;1;1;0;2;2;1;580210028;58021010;1;1
10844377;40980;1;1;1;0;2;3;4;580210028;58021010;3;1
10845777;40991;1;1;1;0;1;3;2;580280035;58028010;2;1
10845273;40989;1;1;1;0;1;1;1;580280035;58028010;1;1
10845739;40991;1;1;1;0;1;1;1;580280035;58028010;1;1
10844796;40984;1;1;1;0;3;3;2;580280000;58028000;3;1
10844833;40985;1;1;1;0;3;3;2;580280000;58028000;3;1
10846261;40994;1;4;1;0;1;1;2;580280035;58028010;2;1
10845713;40991;1;1;1;0;1;1;1;580280035;58028010;1;1
10845074;40988;1;1;1;0;1;1;1;580280035;58028010;1;1
10844971;40988;1;1;1;0;1;1;1;580280035;58028010;1;1
10844730;40983;1;1;1;0;3;3;2;580280000;58028000;3;1
10845477;40990;1;1;1;0;1;1;1;580280035;58028010;1;1
10845436;40990;1;1;1;0;1;1;1;580280035;58028010;1;1
10846185;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845361;40989;1;1;1;0;1;3;1;580280035;58028010;1;2
10845358;40989;1;1;1;0;1;3;1;580280035;58028010;1;1
10845965;40993;1;1;1;0;2;1;1;580285035;58028020;3;1
10846115;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10844826;40985;1;1;1;0;3;3;2;580280000;58028000;3;1
10846272;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845068;40988;1;1;1;0;1;2;1;580280035;58028010;1;1
10845671;40990;1;1;1;0;1;1;1;580280035;58028010;1;1
10845243;40988;1;1;1;0;1;1;2;580280035;58028010;2;1
10844849;40985;1;1;1;0;3;3;2;580280000;58028000;3;1
10844937;40987;1;3;1;0;1;3;3;580280035;58028010;3;1
10844746;40984;1;1;1;0;3;3;4;580280000;58028000;3;1
10845933;40993;1;1;1;0;2;1;1;580285035;58028020;1;1
10845048;40988;1;1;1;0;1;3;1;580280035;58028010;3;1
10846048;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845214;40988;1;1;1;0;1;1;1;580280035;58028010;1;1
10846057;40994;1;1;1;0;1;2;2;580280035;58028010;3;1
10845692;40991;1;1;1;0;1;1;1;580280035;58028010;1;1
10845844;40991;1;1;1;0;1;2;2;580280035;58028010;2;1
10844759;40984;1;1;1;0;3;3;2;580280000;58028000;3;1
10844780;40984;1;1;1;0;3;3;2;580280000;58028000;3;1
10845766;40991;1;1;1;0;1;3;1;580280035;58028010;1;1
10846260;40994;1;4;1;0;1;1;1;580280035;58028010;1;1
10845613;40990;1;1;1;0;1;1;1;580280035;58028010;1;1
10846067;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845796;40991;1;1;1;0;1;3;3;580280035;58028010;2;1
10846177;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845600;40990;1;1;1;0;1;2;2;580280035;58028010;2;1
10844976;40988;1;1;1;0;1;1;1;580280035;58028010;1;1
10846084;40994;1;4;1;0;1;1;1;580280035;58028010;1;1
10846027;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845312;40989;1;1;1;0;1;3;1;580280035;58028010;1;1
10845179;40988;1;1;1;0;1;1;1;580280035;58028010;1;1
10846045;40994;1;1;1;0;1;1;3;580280035;58028010;2;1
10845599;40990;1;1;1;0;1;2;2;580280035;58028010;2;1
10845970;40993;1;1;1;0;2;1;1;580285035;58028020;1;1
10845294;40989;1;1;1;0;1;1;1;580280035;58028010;1;1
10845608;40990;1;1;1;0;1;1;1;580280035;58028010;1;1
10845648;40990;1;1;1;0;1;1;2;580280035;58028010;3;1
10844687;40982;1;1;1;0;3;3;1;580280000;58028000;3;1
10845923;40992;1;1;1;0;3;3;3;580285035;58028000;3;1
10845089;40988;1;1;1;0;1;1;2;580280035;58028010;2;1
10845155;40988;1;1;1;0;1;1;2;580280035;58028010;2;1
10845257;40988;1;1;1;0;1;1;3;580280035;58028010;2;1
10846047;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10846143;40994;1;1;1;0;1;1;2;580280035;58028010;2;1
10844774;40984;1;1;1;0;3;3;1;580280000;58028000;3;1
10845100;40988;1;1;1;0;1;3;2;580280035;58028010;3;1
10845363;40989;1;1;1;0;1;2;2;580280035;58028010;2;2
10845829;40991;1;1;1;0;1;3;1;580280035;58028010;1;1
10846250;40994;1;1;1;0;1;2;1;580280035;58028010;1;2
10844862;40985;1;1;1;0;3;3;2;580280000;58028000;2;1
10845378;40990;1;1;1;0;1;1;1;580280035;58028010;1;1
10845113;40988;1;1;1;0;1;3;1;580280035;58028010;1;1
10845167;40988;1;1;1;0;1;1;3;580280035;58028010;2;1
10844974;40988;1;1;1;0;1;2;1;580280035;58028010;1;1
10845798;40991;1;1;1;0;1;1;3;580280035;58028010;2;2
10844695;40982;1;1;1;0;3;3;2;580280000;58028000;3;1
10845645;40990;1;1;1;0;1;1;2;580280035;58028010;3;1
10845270;40989;1;1;1;0;1;2;2;580280035;58028010;2;1
10845397;40990;1;1;1;0;1;1;2;580280035;58028010;2;1
10844797;40984;1;1;1;0;3;3;1;580280000;58028000;3;1
10845449;40990;1;1;1;0;1;2;1;580280035;58028010;1;1
10846275;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845443;40990;1;4;1;0;1;3;2;580280035;58028010;3;1
10844707;40982;1;1;1;0;3;3;1;580280000;58028000;1;1
10845145;40988;1;1;1;0;1;1;3;580280035;58028010;2;1
10846287;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845067;40988;1;1;1;0;1;1;1;580280035;58028010;1;1
10845508;40990;1;1;1;0;1;1;3;580280035;58028010;2;1
10845482;40990;1;1;1;0;1;1;3;580280035;58028010;2;1
10845376;40990;1;1;1;0;1;1;3;580280035;58028010;2;1
10844997;40988;1;1;1;0;1;1;1;580280035;58028010;1;1
10844963;40988;1;1;1;0;1;1;2;580280035;58028010;2;1
10844794;40984;1;1;1;0;3;3;4;580280000;58028000;3;1
10845598;40990;1;1;1;0;1;2;1;580280035;58028010;1;1
10846026;40994;1;1;1;0;1;1;1;580280035;58028010;1;1
10845898;40992;1;1;1;0;3;3;2;580285035;58028000;2;1
10845789;40991;1;1;1;0;1;1;1;580280035;58028010;1;1
